x	y	labels
40.84951	-46.019466	0.0
44.173904	1.2386749	0.0
41.63298	-42.192093	0.0
67.26304	-1.9568616	0.0
-14.224119	-72.72503	0.0
20.559309	27.079039	0.0
-69.0424	-2.9534516	0.0
-48.23388	34.62266	0.0
59.008926	0.542355	0.0
18.326426	-52.92032	0.0
50.511192	-51.019234	0.0
45.240437	-8.230142	0.0
-6.6296077	-59.593502	0.0
55.260983	-53.540108	0.0
58.06573	-32.14275	0.0
22.839886	-55.04714	0.0
-1.5438234	-74.73807	0.0
27.399595	-25.037653	0.0
46.491467	25.388557	0.0
7.490023	-66.42882	0.0
-16.59304	-63.62749	0.0
-52.63456	-48.699326	0.0
30.054213	19.89991	0.0
-8.938763	-7.5169063	0.0
-52.81761	39.533714	0.0
-52.219547	0.46494824	0.0
61.947605	-25.773497	0.0
1.8245595	2.8988385	0.0
-8.612269	-68.08486	0.0
-19.085651	43.363255	0.0
-19.32847	44.493458	0.0
41.444923	-41.26471	0.0
62.37463	-25.975355	0.0
11.754622	-53.353176	0.0
-10.092329	-67.9274	0.0
-40.044147	-7.15791	0.0
-39.06247	0.79615676	0.0
4.2924724	-20.694115	0.0
7.869214	-21.072563	0.0
14.022693	3.5679922	0.0
-34.14354	-47.772205	0.0
-36.996307	26.854677	0.0
31.005136	57.43137	0.0
56.59169	33.36144	0.0
64.230286	3.6912448	0.0
7.2010264	-18.259699	0.0
44.930084	-21.285603	0.0
68.500114	-0.900378	0.0
52.470932	28.965364	0.0
65.723854	0.10475943	0.0
26.121218	11.259419	0.0
-23.421278	-29.17345	0.0
59.16609	-7.6051416	0.0
-25.981642	51.097042	0.0
37.565304	-33.922844	0.0
40.16257	-3.698034	0.0
-7.6730456	-13.037246	0.0
57.848454	-7.9670653	0.0
-19.493872	-67.222595	0.0
43.835865	-45.731262	0.0
8.213054	-43.135094	0.0
-13.275121	-66.480865	0.0
30.332933	-27.141594	0.0
45.936947	-23.244265	0.0
8.736603	-50.343845	0.0
31.453392	-59.501152	0.0
17.795254	-53.17451	0.0
37.6205	41.394787	0.0
-14.269137	-8.933952	0.0
-9.679974	-65.10757	0.0
-19.719156	27.656145	0.0
27.818747	-12.863884	0.0
34.15941	-9.264808	0.0
58.79694	-21.948633	0.0
-24.094086	-24.309895	0.0
-45.157047	33.020744	0.0
44.317654	-14.725922	0.0
65.00516	-22.422964	0.0
-28.856129	-12.99623	0.0
-21.725021	28.404533	0.0
-3.026641	16.081722	0.0
28.626036	-40.43125	0.0
64.158775	-30.962378	0.0
33.119446	-10.105618	0.0
37.98097	-43.56807	0.0
47.297924	-50.819603	0.0
52.966244	-11.799505	0.0
53.999382	-8.68221	0.0
7.1995273	7.7192464	0.0
33.051903	-15.615924	0.0
49.112553	-29.748394	0.0
-5.3482394	-76.46901	0.0
37.786766	-38.85026	0.0
-14.880146	-68.111565	0.0
-50.821934	-43.23576	0.0
67.925255	-15.279363	0.0
-60.18825	-30.487251	0.0
-52.52943	-3.290413	0.0
2.959333	4.4003906	0.0
67.96854	4.6904764	0.0
54.714752	6.345405	0.0
28.68314	-63.3086	0.0
13.616492	60.251514	0.0
3.0081666	-20.721504	0.0
16.00542	-23.733889	0.0
57.14662	-10.812106	0.0
16.932966	2.7768595	0.0
2.6681254	-38.57664	0.0
7.096776	-18.740984	0.0
21.060368	49.059055	0.0
48.9803	22.445587	0.0
-33.836452	-26.811522	0.0
63.256084	-4.8456416	0.0
3.0254664	-74.19814	0.0
-39.50208	-39.14737	0.0
-9.7818	-6.8316903	0.0
41.586674	-53.988396	0.0
13.505304	43.243816	0.0
-19.56128	-67.33276	0.0
32.208023	-21.911114	0.0
10.43364	27.64275	0.0
59.090954	31.907614	0.0
-21.487864	27.840986	0.0
