x	y	labels
59.00638	-21.779797	0.0
16.708605	-10.856462	0.0
-12.686103	-4.4599133	0.0
24.432997	6.1546493	0.0
36.49529	-52.875298	0.0
28.536398	-45.728058	0.0
33.04946	-49.297306	0.0
34.312397	-18.264097	0.0
34.11532	-53.958847	0.0
6.2590632	-30.094618	0.0
57.89787	-19.515995	0.0
-20.93349	-61.161686	0.0
-12.377804	-0.8458267	0.0
3.5991347	-17.747786	0.0
-31.372536	-55.932003	0.0
-5.855762	-67.68486	0.0
58.616283	22.485231	0.0
-8.511661	-61.88461	0.0
-15.969261	-51.819595	0.0
19.390669	-17.264124	0.0
-6.316997	-57.509888	0.0
20.924612	-59.695614	0.0
16.3029	-38.386604	0.0
35.026955	-47.818123	0.0
36.683437	21.424742	0.0
-20.905273	-53.2293	0.0
-27.141499	-54.099346	0.0
5.756777	-4.096998	0.0
18.944057	-36.983612	0.0
9.976542	-9.878563	0.0
-0.06032872	0.8723524	0.0
0.85441965	3.4054284	0.0
-18.341002	9.200658	0.0
36.76491	-56.428707	0.0
2.797467	-9.941081	0.0
-4.292265	-17.84248	0.0
-15.380025	-64.047325	0.0
-8.059603	-54.604134	0.0
36.06884	-20.769007	0.0
53.01778	-50.976562	0.0
1.6455684	-41.973343	0.0
-2.7320852	-30.846304	0.0
28.762993	-64.71801	0.0
33.463615	-65.49932	0.0
-11.728844	0.4533869	0.0
39.150417	-53.24133	0.0
-23.004496	-61.21915	0.0
49.345997	-54.61408	0.0
53.53845	-26.751963	0.0
9.613238	16.002886	0.0
51.546677	-13.314438	0.0
23.430822	5.163699	0.0
3.7226114	-11.021166	0.0
18.838133	-38.813236	0.0
59.51517	2.8244703	0.0
-2.1940007	-67.67472	0.0
1.3907932	-46.65415	0.0
26.805256	-18.390285	0.0
-28.89837	2.803822	0.0
17.106934	-42.997105	0.0
-23.760712	-46.25736	0.0
7.489346	20.084318	0.0
0.750715	-23.371447	0.0
9.37872	-21.072617	0.0
-0.6364643	-23.838884	0.0
11.201884	-43.719685	0.0
38.246048	13.797737	0.0
12.213974	-18.660143	0.0
13.026973	5.5023046	0.0
3.1113393	-37.85194	0.0
51.260944	19.207542	0.0
34.45155	-39.760456	0.0
15.375008	-48.61348	0.0
5.2990565	30.71113	0.0
-6.762638	19.704191	0.0
43.708145	-56.996826	0.0
37.82067	-66.62084	0.0
13.800076	-19.619974	0.0
-6.849971	-64.35064	0.0
59.802956	-28.207453	0.0
41.963196	21.044886	0.0
2.647587	-28.306217	0.0
19.709074	20.50478	0.0
10.786726	-32.800518	0.0
19.084373	6.748896	0.0
-1.8083375	35.45209	0.0
31.953766	13.484372	0.0
-15.257261	-64.042725	0.0
41.366848	-64.155846	0.0
56.68004	-18.969553	0.0
23.252602	-0.64620847	0.0
25.5096	-36.002014	0.0
-11.315681	-7.3282013	0.0
44.664783	-55.074802	0.0
6.9989176	21.75046	0.0
39.706066	-63.787865	0.0
51.95792	-51.235035	0.0
67.838806	7.8554626	0.0
-23.949928	-57.07359	0.0
61.351124	10.572557	0.0
4.503127	22.947166	0.0
52.12446	17.114498	0.0
20.134958	-55.096954	0.0
61.970978	-20.612709	0.0
26.959404	-13.79764	0.0
-15.131295	-60.383	0.0
4.698261	-36.586388	0.0
51.31212	-11.235144	0.0
-20.981445	24.564209	0.0
-0.23579709	-38.167194	0.0
20.39801	22.570341	0.0
-19.928198	-50.21053	0.0
28.444056	-35.955902	0.0
43.84506	-20.710003	0.0
25.843962	6.7106967	0.0
-31.445988	-55.683342	0.0
35.78594	-29.645048	0.0
51.92695	16.25513	0.0
23.519508	-46.662323	0.0
55.41317	11.141072	0.0
-13.264805	-44.631653	0.0
-31.514996	-55.77547	0.0
-13.4804	-63.735107	0.0
22.473396	-44.769558	0.0
17.40398	20.093727	0.0
-21.378714	24.65727	0.0
28.205843	-28.89759	0.0
-2.6576817	-16.540308	0.0
15.930966	-55.569946	0.0
