x	y	labels
37.44258	-6.0932794	0.0
25.91387	11.55794	0.0
4.5131946	-11.869574	0.0
-35.082104	28.426468	0.0
-14.108126	2.679132	0.0
-32.84075	16.477636	0.0
55.804733	0.69544953	0.0
40.545494	19.78093	0.0
31.6611	-29.659393	0.0
21.955065	-14.606188	0.0
67.590065	-16.460928	0.0
58.46732	-5.895814	0.0
-31.546083	9.710691	0.0
48.474697	-18.544807	0.0
-30.03144	25.580404	0.0
56.568542	25.292805	0.0
-13.668178	2.190394	0.0
6.9270267	-17.44059	0.0
-20.603224	-2.0229332	0.0
48.201332	25.415081	0.0
37.932934	-34.897003	0.0
-6.4145813	23.364975	0.0
50.851788	20.43525	0.0
-25.693571	23.65091	0.0
65.956215	3.7722535	0.0
-14.404061	-36.190662	0.0
46.281643	-16.54842	0.0
-23.524618	22.84438	0.0
46.578983	31.633926	0.0
-4.975881	-29.312487	0.0
60.94179	-6.815716	0.0
-24.287813	12.660413	0.0
3.112553	9.499199	0.0
28.633753	-50.194576	0.0
34.548103	-28.695093	0.0
67.62235	-24.780785	0.0
9.060491	3.547821	0.0
-10.591154	-30.186998	0.0
44.665848	6.6181173	0.0
54.97423	24.128542	0.0
7.816506	-12.056168	0.0
43.51352	11.363543	0.0
8.09374	-23.409296	0.0
43.891647	-36.024624	0.0
67.68576	-5.350488	0.0
43.60781	-22.922508	0.0
-67.75569	2.0741723	0.0
21.290741	24.51759	0.0
52.605564	24.047943	0.0
37.654423	-16.055466	0.0
31.216787	8.471167	0.0
9.138105	23.18377	0.0
33.46931	-33.991425	0.0
21.27356	-44.37492	0.0
-16.35943	29.465345	0.0
-21.6369	11.359807	0.0
32.374233	-21.226994	0.0
-19.348148	23.564177	0.0
40.619564	-33.14847	0.0
55.0938	24.070362	0.0
-9.162737	-24.932	0.0
43.970078	19.5643	0.0
32.579865	7.800883	0.0
-29.221306	20.364271	0.0
-30.712364	20.104376	0.0
53.690006	25.004469	0.0
29.663956	-50.77596	0.0
-1.9194753	10.944998	0.0
-12.775203	26.421444	0.0
7.8349514	12.800826	0.0
-27.855762	-16.365076	0.0
41.482502	-52.930084	0.0
74.27176	-0.93675464	0.0
-19.81476	8.867241	0.0
-32.854973	20.112572	0.0
33.57807	-1.954996	0.0
78.164986	0.24870642	0.0
-28.055504	-15.035416	0.0
59.334854	43.935814	0.0
42.793987	-6.8992467	0.0
-39.508057	18.290022	0.0
27.663427	-9.372246	0.0
3.1871006	-10.775327	0.0
64.938736	33.897472	0.0
-26.48862	-11.502459	0.0
37.2815	-19.608694	0.0
74.69928	0.8760048	0.0
-36.57273	20.299473	0.0
71.36797	-15.998888	0.0
-5.6439857	-15.461764	0.0
36.918266	-46.711697	0.0
-15.900196	-11.026272	0.0
20.155212	-46.956978	0.0
-21.18108	-8.580883	0.0
4.5967226	-35.57789	0.0
-10.580107	-12.723485	0.0
5.3998723	-14.807252	0.0
56.714767	-15.623291	0.0
56.75279	37.790924	0.0
26.43871	-27.150942	0.0
-28.680912	6.178616	0.0
-37.82022	19.80738	0.0
55.641304	12.759629	0.0
-35.065937	4.647008	0.0
37.274815	16.993774	0.0
-17.115131	2.3713887	0.0
27.149519	-47.45177	0.0
-45.991142	-9.679469	0.0
-0.96825415	-28.441519	0.0
51.03855	12.487677	0.0
59.790085	-3.9867172	0.0
19.777838	-45.774895	0.0
45.131668	24.258963	0.0
61.606426	-12.490272	0.0
-5.9619904	-7.299032	0.0
53.13701	-28.60832	0.0
42.883305	-5.5897784	0.0
-15.289012	-15.491247	0.0
-18.93722	25.558342	0.0
22.240767	-21.752674	0.0
26.68346	-51.11053	0.0
43.261185	-13.562553	0.0
53.72015	15.17696	0.0
-28.233929	9.387073	0.0
2.0693438	9.4002285	0.0
52.286682	12.183063	0.0
-19.274595	25.489626	0.0
71.03333	0.33136243	0.0
-4.466613	42.817955	0.0
39.300022	-34.62898	0.0
19.604506	-16.782059	0.0
52.829063	11.919372	0.0
51.385033	34.358936	0.0
41.41343	-15.985742	0.0
22.291264	16.258722	0.0
52.300472	-5.131128	0.0
8.214249	-11.0661545	0.0
-21.654749	24.543625	0.0
42.684834	-5.287725	0.0
46.120502	30.314528	0.0
-22.352737	-24.467691	0.0
0.00029361108	-26.045895	0.0
-1.3882614	1.1185584	0.0
68.9445	2.9983675	0.0
13.669608	-17.43554	0.0
-15.655598	-2.0377824	0.0
17.715734	-38.514076	0.0
50.762398	24.480494	0.0
-8.964175	14.188602	0.0
25.70312	13.231093	0.0
51.02505	16.78066	0.0
0.972454	9.153523	0.0
-27.989998	9.834829	0.0
66.33426	1.1017456	0.0
-14.955265	6.5473905	0.0
-19.072128	11.81151	0.0
55.78032	-6.8854303	0.0
38.613686	-8.280243	0.0
46.240005	-20.472696	0.0
18.500074	-12.329983	0.0
27.663567	-19.150074	0.0
61.370342	2.1640654	0.0
-5.0179	11.573711	0.0
49.03258	8.966572	0.0
-25.326517	12.169946	0.0
66.93788	3.2991889	0.0
40.510532	18.789053	0.0
-41.83322	24.300335	0.0
33.26808	50.25871	0.0
-23.458479	13.371764	0.0
-30.265474	1.2264618	0.0
32.844326	8.662266	0.0
16.42417	-19.325233	0.0
-37.1033	19.568249	0.0
29.702002	-36.950382	0.0
-2.9533515	8.619151	0.0
-1.4965681	-21.76419	0.0
40.65286	-5.627727	0.0
26.142473	13.501763	0.0
75.11253	-10.415229	0.0
-1.4464904	23.209759	0.0
0.91934156	-75.75118	0.0
17.678116	6.169031	0.0
34.037346	-36.538082	0.0
-26.30801	27.47674	0.0
39.34783	-29.124372	0.0
-23.425316	-27.038769	0.0
-22.871563	-17.926107	0.0
-15.572853	21.024708	0.0
41.427128	11.1593895	0.0
1.0482129	8.055498	0.0
-12.986006	10.809122	0.0
46.343746	24.851875	0.0
69.62801	3.410924	0.0
31.492182	-41.622093	0.0
-9.9714575	7.8858128	0.0
19.778627	-17.19366	0.0
60.984653	29.643513	0.0
56.568424	20.19707	0.0
52.054775	-29.92235	0.0
-13.669701	0.042687003	0.0
22.638184	-22.955458	0.0
25.567873	8.910858	0.0
1.7926184	25.717464	0.0
26.953064	-8.364759	0.0
46.980625	-33.429134	0.0
-23.324398	25.58823	0.0
-25.857206	11.467153	0.0
-26.249054	21.755455	0.0
75.97423	-15.992786	0.0
25.848997	5.0074854	0.0
55.225574	15.214767	0.0
-2.3005486	0.9190276	0.0
54.401142	14.743622	0.0
-23.384432	25.56629	0.0
-9.118421	-3.2595892	0.0
-20.397575	4.796421	0.0
44.343475	-42.371563	0.0
48.24547	-28.587593	0.0
60.178074	2.7918475	0.0
13.703497	16.614725	0.0
20.727243	-21.637205	0.0
78.4414	-1.715014	0.0
68.53224	-8.873957	0.0
59.12265	3.3789604	0.0
30.206642	-34.449566	0.0
-21.861172	21.884666	0.0
69.137344	-15.174257	0.0
15.919158	-14.573728	0.0
48.46822	15.23734	0.0
-14.301936	3.778531	0.0
52.893326	17.39135	0.0
-8.369212	-28.618717	0.0
-7.2685623	30.277935	0.0
4.038429	19.0057	0.0
41.179173	-43.15702	0.0
-7.254902	-14.091055	0.0
7.3026805	-17.183764	0.0
-36.803974	20.154228	0.0
13.237682	-25.695099	0.0
21.517092	-51.263382	0.0
68.30297	1.7860326	0.0
32.113426	-42.203182	0.0
75.37781	1.3292966	0.0
60.148197	-17.892084	0.0
30.956047	8.655092	0.0
-37.0697	-52.248287	0.0
-21.212084	-28.410234	0.0
47.994015	31.603102	0.0
14.06102	32.099003	0.0
-28.928139	18.356071	0.0
-28.678377	-12.137703	0.0
48.9445	16.261604	0.0
-26.142084	28.436176	0.0
27.523207	8.768123	0.0
40.361942	-35.074825	0.0
40.86257	-48.730125	0.0
-11.957793	-4.479653	0.0
25.406363	-49.19831	0.0
-11.724304	27.785097	0.0
-11.91102	-4.6066	0.0
-13.559416	9.668113	0.0
21.762737	21.803402	0.0
23.784939	6.2491174	0.0
-9.524952	7.1744056	0.0
-15.981535	4.080703	0.0
13.011529	-9.683488	0.0
55.21958	7.6377177	0.0
-17.773151	29.214722	0.0
33.076855	-29.754425	0.0
33.062866	-51.165382	0.0
9.150477	-20.731102	0.0
-23.370531	-28.955578	0.0
17.547117	-42.004173	0.0
41.290108	-16.593657	0.0
-13.346634	6.266214	0.0
30.527485	-46.942127	0.0
16.870771	23.990854	0.0
39.916264	15.088867	0.0
59.45497	43.59248	0.0
44.983566	30.50249	0.0
9.588593	18.772255	0.0
17.887981	-43.99101	0.0
73.99038	-12.924883	0.0
-26.67753	17.749704	0.0
12.019197	-10.500782	0.0
-6.956367	6.851293	0.0
45.558926	7.239981	0.0
10.717598	-21.347898	0.0
-16.713963	-9.956444	0.0
18.140633	-16.69948	0.0
29.629288	-51.63768	0.0
16.951817	24.148035	0.0
77.778625	-8.416431	0.0
66.13536	-19.067154	0.0
52.604256	35.990936	0.0
22.762722	-1.9134263	0.0
23.774813	-0.06235812	0.0
75.74122	-9.185129	0.0
24.353579	26.39105	0.0
37.900623	-15.205828	0.0
37.270695	43.761826	0.0
53.366283	25.436295	0.0
-17.131851	-30.256271	0.0
38.334282	-53.60024	0.0
57.937866	24.013933	0.0
-35.539955	-12.47058	0.0
2.3194304	12.320379	0.0
-18.772606	-30.624943	0.0
67.17682	-8.020684	0.0
33.270046	-38.292397	0.0
34.513454	-46.429916	0.0
8.466079	-5.744893	0.0
17.358885	26.295864	0.0
-21.514826	5.330884	0.0
-27.014029	18.659233	0.0
-19.627758	-18.07627	0.0
-1.3225962	-22.144773	0.0
14.380063	-16.327488	0.0
-8.465492	21.59306	0.0
43.562183	-5.877987	0.0
18.54325	-27.820757	0.0
11.217387	-29.645414	0.0
78.59514	-7.580691	0.0
-22.500195	7.0850005	0.0
-21.738861	4.762147	0.0
42.809933	17.79839	0.0
40.290028	-10.14547	0.0
-1.3741117	1.7700913	0.0
48.39872	-25.903805	0.0
